type,cat,lat,lon,R,G,B,color
CL,23,0,45.0,172.74651464175648,162.70755005327345,153.10363411484957,2
CL,24,0,-135.0,97.59350146819231,87.01587582072258,78.82293049121031,2
CL,24,0,-45.0,176.9070471095189,156.16700552688866,139.84021862727067,2
CL,2,0,-90.0,124.81700579104977,111.34493012301712,90.3249027297025,2
CL,2,0,0.0,144.1551838821692,135.03340081067884,129.4275683790229,2
CL,2,0,45.0,136.02972647185655,120.8385751267921,102.68142136441831,2
CL,3,0,180.0,115.68616197596099,102.58780850124727,80.69501258984344,2
CL,3,0,-180.0,115.68616197596099,102.58780850124727,80.69501258984344,2
CL,3,0,45.0,206.63829940663348,197.62952159017982,188.15719132011745,2
CL,3,0,90.0,174.73603069505222,167.89487576997962,168.04450233541186,2
CL,4,0,-135.0,154.05125735330816,146.26839515865584,134.0521169653303,2
CL,4,0,-45.0,167.90129954705682,156.24567055371958,142.0768375535955,2
CL,4,0,-90.0,162.5403656739389,148.09417818695894,136.42357900535444,2
CL,4,0,0.0,171.14147687023066,167.55585717525298,164.4099820338975,2
CL,4,0,135.0,190.588118142233,187.5723063521306,179.27653374454383,2
CL,4,0,180.0,94.59930477949658,73.06452883010544,51.961344523184934,2
CL,4,0,-180.0,94.59930477949658,73.06452883010544,51.961344523184934,2
CL,4,0,45.0,188.1249970835857,178.02224880850622,166.28788939188482,2
CL,4,0,90.0,159.82205095181,149.03407894768566,136.21774543000868,2
GR,1,0,0.0,90.1254237813802,82.00164751862604,77.019800416911,3
GR,2,0,-135.0,72.69276890423163,60.40860338370798,50.998826603208,3
GR,2,0,-90.0,146.5083186756256,139.40370114175735,127.64219439806988,3
GR,2,0,45.0,121.88689488484376,106.15297581838394,85.86107224882882,3
GR,2,0,90.0,85.9331580441643,79.33536930003453,77.86685777689276,3
GW,1,0,135.0,87.63279449833976,94.43728350847908,94.18016638820146,4
GW,1,0,45.0,133.8194134998802,132.1497375063434,130.4676893737973,4
GW,2,0,-45.0,156.91281021921333,151.51434943459688,146.69934558162103,4
GW,2,0,0.0,176.16429973779162,166.6900949653408,161.64061347239544,4
GW,2,0,180.0,131.40381806217596,124.03635716331866,116.4070769570855,4
GW,2,0,-180.0,131.40381806217596,124.03635716331866,116.4070769570855,4
GW,3,0,0.0,183.53761643166203,180.35389701979813,179.5328554945936,4
GW,3,0,180.0,137.57381095712427,135.08210869861196,130.86646290872088,4
GW,3,0,-180.0,137.57381095712427,135.08210869861196,130.86646290872088,4
GW,4,0,0.0,122.06660590967658,118.40236199826231,114.17751525301054,4
GW,5,0,0.0,83.4196410261047,78.39159225505112,74.94715754114216,4
GW,6,0,0.0,165.34796481769007,166.8983080106026,168.14625860337057,4
GW,7,0,0.0,133.82769641979564,127.93489921608925,124.77953558150062,4
GW,7,0,180.0,186.52504068180772,182.5213868414872,176.07266971026007,4
GW,7,0,-180.0,186.52504068180772,182.5213868414872,176.07266971026007,4
GW,8,0,0.0,175.53069077845876,165.77181048930296,150.5714359756337,4
GW,9,0,-90.0,88.27114428085926,83.87235990175863,78.28990893375065,4
GW,9,0,45.0,157.55138689704785,157.2123633408765,155.5075137152461,4
GW,9,0,90.0,125.61432080886294,126.2440617760052,125.84700041957845,4
GW,10,0,180.0,95.90646093916018,86.32146014220888,63.68803255225874,4
GW,10,0,-180.0,95.90646093916018,86.32146014220888,63.68803255225874,4
GW,10,0,45.0,183.9437947308206,181.9243350912038,180.20130098005745,4
GW,10,0,90.0,127.53274955392348,125.31744575351306,118.46571828877622,4
GW,14,0,-135.0,167.6863139721253,160.16665984513946,152.80104256419338,4
GW,14,0,0.0,173.7139360993282,149.67764279964268,135.73807679561858,4
GW,14,90,0.0,186.10177816738133,180.05403669346813,173.5330697124618,4
GW,16,0,180.0,150.38014903256894,144.3308444106366,146.52825873127708,4
GW,16,0,-180.0,150.38014903256894,144.3308444106366,146.52825873127708,4
GW,16,0,45.0,136.50134075118925,130.3438118467651,128.5433966277872,4
GW,16,0,90.0,88.13939957952846,83.51114326015131,81.80727075554643,4
GW,16,90,180.0,134.35730621637128,127.75228185675302,124.71639878770871,4
GW,16,90,-180.0,134.35730621637128,127.75228185675302,124.71639878770871,4
OG,1,0,-90.0,205.14960708768987,170.88511455713262,125.83254015080925,5
OG,1,0,0.0,213.663965007006,197.71000648057571,181.56997756592344,5
OG,1,0,180.0,192.74818299955123,163.3784524220616,136.2653901548173,5
OG,1,0,-180.0,192.74818299955123,163.3784524220616,136.2653901548173,5
OG,2,0,0.0,194.83307659044675,153.9294091340218,130.67458768069696,5
OG,3,0,-90.0,111.40721408328325,77.23168052165549,55.18036122137321,5
OG,3,0,0.0,197.09010587764524,186.13341565892452,168.7710248967448,5
OG,3,0,180.0,135.30194518085233,96.18391459462929,59.08800711024611,5
OG,3,0,-180.0,135.30194518085233,96.18391459462929,59.08800711024611,5
OG,4,0,90.0,159.60641702505617,112.47171380145421,89.41645384377661,5
OG,5,0,0.0,131.15825002287687,91.19198415382373,59.62577307754622,5
OG,5,0,90.0,195.7448326997665,186.8637687037534,169.37493294561028,5
OG,6,0,0.0,202.32894198446573,180.48158353679048,152.16748956252596,5
OG,7,0,-135.0,153.67295661839202,131.85407922768806,106.9112082674106,5
OG,7,0,-45.0,186.84934472292798,154.07928663449061,124.29292233329762,5
OG,7,0,135.0,194.85144910290552,175.53054321724323,151.04419570326593,5
OW,2,0,-135.0,209.58274037267086,198.94448666422463,168.67297273578302,6
OW,2,0,-45.0,199.55044609880665,186.34857611644043,155.67575275320755,6
OW,3,0,-135.0,202.2191826980863,177.4478778369498,161.70971318296967,6
OW,3,0,-90.0,150.8611153598727,136.0906655407187,127.07837818368789,6
OW,4,0,-45.0,183.69032759602442,170.95695588023636,156.90849182343712,6
OW,4,0,90.0,148.1016557681914,132.25630170194253,114.06180077045002,6
OW,5,0,0.0,178.172557905935,147.65680799947978,119.82179584691481,6
OW,6,0,90.0,190.65810611331307,178.14564858237887,153.2398143831623,6
OW,7,0,0.0,214.22024884920606,199.92836591606263,189.90717820099076,6
OW,8,0,0.0,204.9175493039115,188.1622206004317,164.53476754933556,6
OW,9,0,0.0,212.4187010857287,197.42391237221824,177.4485336487484,6
OW,10,0,0.0,202.4258469323148,182.0869023602949,159.21124153457365,6
OW,10,0,135.0,190.88686983231398,157.9670790287692,129.06997326929357,6
OW,10,0,90.0,204.81247016062065,176.24542178916477,156.76678739105117,6
OW,11,0,-90.0,186.38400060505802,179.1388762568376,175.74747504108183,6
OW,11,0,0.0,208.3895326988637,198.92318698721752,188.38298540747599,6
OW,11,0,180.0,162.05543709601824,144.76991850548703,129.57636313479364,6
OW,11,0,-180.0,162.05543709601824,144.76991850548703,129.57636313479364,6
OW,11,0,90.0,200.72481242323,195.67654676079673,190.53204580166093,6
OW,1,0,0.0,213.70487850117993,208.8797787169248,206.85976273048183,6
OW,1,0,135.0,204.28612763336247,193.81897028059518,188.6629003151223,6
OW,2,0,0.0,187.47800644283635,171.47509084786523,159.58980480524596,6
RD,1,0,0.0,158.31630327587632,150.91982037062436,146.7011260696019,7
RD,1,0,180.0,159.0840860207545,146.80106699531413,139.9702332634014,7
RD,1,0,-180.0,159.0840860207545,146.80106699531413,139.9702332634014,7
SM,1,0,-90.0,133.4056049681155,118.19237967740594,100.48057591813878,8
SM,1,0,0.0,148.94304725665364,139.6230898303862,125.04585490416433,8
TB,4,0,45.0,148.19737621939092,136.831101873257,132.15111903476821,9
TB,7,0,-90.0,162.33897072121306,159.56165990294446,154.26065980257786,9
TB,7,0,0.0,185.99527531016287,184.76425709803397,179.75688451321867,9
TB,8,0,-45.0,85.11072973234963,74.66553966613081,63.77353678074392,9
TB,10,0,0.0,143.36691523328838,124.42517684658392,97.23612252556053,9
TB,11,0,0.0,151.01519412797208,126.64111697438332,107.0709852846496,9
TB,11,0,135.0,151.7401900542415,151.1757140295075,149.81669212586903,9
TB,11,0,90.0,177.04630618710866,175.30899866949565,176.4256163804322,9
TB,13,0,-45.0,119.67995785843318,108.81636946021965,93.80128113751194,9
TB,13,0,0.0,95.70694869361355,85.54500277173379,71.64953282853484,9
TB,13,0,135.0,134.68937784172454,133.8400946802629,126.6978670014683,9
TB,13,0,180.0,160.87784227218023,152.84272181578078,139.56299542581283,9
TB,13,0,-180.0,160.87784227218023,152.84272181578078,139.56299542581283,9
TB,14,0,45.0,151.78937810681805,133.22840928751563,132.9099414855321,9
TB,15,0,-45.0,165.4266236231457,161.7146162014494,149.0464727310141,9
TB,16,0,-90.0,134.9055561364832,127.71700208541768,114.75926728135748,9
TB,16,0,0.0,146.68506526845147,142.99776218621767,135.16270290764555,9
TB,19,0,-90.0,134.18826420849342,125.04302743668929,90.19571396840385,9
TB,19,0,0.0,123.70578110251502,110.5588013176543,92.40274804141477,9
TB,19,0,90.0,122.7994222697396,113.47969037102435,104.59265291095926,9
TB,20,0,-45.0,139.82930154438301,127.92450541342114,105.92168605835212,9
TB,20,0,45.0,87.38944186588454,76.77163720906121,61.473777041334344,9
TB,24,0,-135.0,97.9500846809979,92.69789193627655,87.98853047655709,9
TB,24,0,-90.0,61.82145161458272,56.4305322945468,54.19676227688699,9
TB,24,0,0.0,138.97500033221502,130.34106783323264,119.18979123008812,9
TB,25,0,-135.0,139.16540048505217,137.15671582184916,134.94666779133016,9
TB,26,0,0.0,170.02278724577653,165.95887180794875,163.02034331373505,9
TB,26,0,180.0,79.13719928330087,71.0706459160693,51.68269621813613,9
TB,26,0,-180.0,79.13719928330087,71.0706459160693,51.68269621813613,9
TB,26,0,45.0,115.2184293322267,112.34932372158717,111.5999987780085,9
TB,27,0,0.0,174.85076461842806,160.92720432649492,131.88212675128335,9
TB,28,0,-90.0,110.64704487049448,99.42123143991422,87.60642974320983,9
TB,28,0,0.0,157.82077044928113,146.43920759226185,125.84662354787594,9
TB,28,0,180.0,67.13877230466217,62.32248024944598,53.234093680391574,9
TB,28,0,-180.0,67.13877230466217,62.32248024944598,53.234093680391574,9
TB,29,0,0.0,152.53839359082568,137.26728701219304,111.54970460987924,9
TB,29,0,135.0,120.37784532421554,110.00194996655486,98.75987779089436,9
TB,29,0,180.0,70.3601887103663,59.86081619141923,50.715072398285805,9
TB,29,0,-180.0,70.3601887103663,59.86081619141923,50.715072398285805,9
TB,30,0,-45.0,122.26040653853245,117.51402891030888,88.45911494437212,9
TB,30,0,0.0,161.58086358637507,158.07267438936267,151.1161426148485,9
TB,33,0,0.0,170.27130027978447,179.40598134180595,178.48637032305527,9
TB,34,0,0.0,166.73143004194822,165.6769727058073,166.11033021691384,9
TB,35,0,-135.0,98.55551068119517,88.60814213579066,81.71895163599731,9
TB,35,0,0.0,168.58567374968882,149.99380796169083,135.25532803078974,9
TB,35,0,135.0,104.45427061877788,100.43340860072581,98.8178478609535,9
TB,38,0,135.0,171.205528457069,170.68492246358514,166.5974128718085,9
TB,38,0,90.0,132.57445898211722,126.8280415567373,116.32523504075928,9
TB,3,0,-90.0,132.04718817035578,128.99727383060997,132.1146709811028,9
TB,3,0,0.0,106.92958049365191,97.66512082475457,93.8744982179905,9
TB,40,0,0.0,195.68936637139296,190.06879598624735,181.69822386772438,9
TB,40,0,135.0,177.6874591772081,178.30708310288298,170.35820744251762,9
TB,40,0,90.0,131.93273408601672,127.56891246927444,116.39322949836729,9
TB,41,0,0.0,167.01898546744516,165.2248898658444,163.1800414607293,9
TB,41,0,135.0,130.2290160570281,125.6639690298026,117.16299240868798,9
TB,41,0,180.0,131.2335748848135,130.24447325566712,128.3793807858124,9
TB,41,0,-180.0,131.2335748848135,130.24447325566712,128.3793807858124,9
TB,42,0,-90.0,146.0909428303407,146.3629882919002,144.3734771041923,9
TB,42,0,0.0,159.56863074725823,158.5016352724262,157.6921103303233,9
TB,43,0,-90.0,164.29482854984605,161.59942075710492,151.95732971320274,9
TB,43,0,45.0,189.5975428041671,190.62731907742148,188.00706841769696,9
TB,44,0,0.0,145.55771692908516,143.18358569390819,136.81869295436985,9
TB,44,0,45.0,167.57361258755773,168.32630133842764,163.17901263050294,9
TB,47,0,-45.0,179.7110049558316,161.1950291570806,141.91080780154172,9
TB,47,0,0.0,156.876734910804,154.28032806987892,151.452898767235,9
TB,47,0,180.0,100.47122661520886,95.87086830567124,89.83127224650484,9
TB,47,0,-180.0,100.47122661520886,95.87086830567124,89.83127224650484,9
TB,47,0,90.0,134.5655907687885,127.31142353003608,102.38970392529679,9
TB,48,0,-45.0,117.14943760400776,109.19041619180746,106.56818032552013,9
TB,48,0,-90.0,95.54785243890576,97.21200972244698,99.19057756892722,9
TB,48,0,180.0,94.86228121131465,88.04828518800011,87.48327005744342,9
TB,48,0,-180.0,94.86228121131465,88.04828518800011,87.48327005744342,9
TB,48,0,90.0,155.8768939391834,157.55450594506073,135.50076330618217,9
TS,1,0,-45.0,159.7854871887991,154.73700861382403,145.54976152011636,10
TS,1,0,180.0,127.78109286385035,146.56850854903584,139.60217017823572,10
TS,1,0,-180.0,127.78109286385035,146.56850854903584,139.60217017823572,10
TS,2,0,-45.0,135.55973987262743,124.01740214890553,113.57084583569676,10
